ssh://root@connect.westa.seetacloud.com:16400/root/miniconda3/bin/python3 -u /root/autodl-tmp/examples/Perception_and_Learning/Conversion/burst_conversion/CIFAR10_mobilenet.py
Files already downloaded and verified
Files already downloaded and verified
dataloader finished
training on  cuda:0
epoch 1, lr 0.050000, loss 2.547164, train acc 0.132752, test acc 0.164200, time 20.2 sec
epoch 280, lr 0.000602, loss 1.087505, train acc 0.737420, test acc 0.847800, time 17.7 sec
epoch 281, lr 0.000546, loss 1.090986, train acc 0.735236, test acc 0.847000, time 18.1 sec
epoch 282, lr 0.000493, loss 1.082799, train acc 0.738682, test acc 0.853000, time 17.7 sec
epoch 283, lr 0.000443, loss 1.088455, train acc 0.736358, test acc 0.850900, time 17.5 sec
epoch 284, lr 0.000395, loss 1.078391, train acc 0.739022, test acc 0.851000, time 17.6 sec
epoch 285, lr 0.000350, loss 1.079266, train acc 0.740184, test acc 0.851800, time 17.2 sec
epoch 286, lr 0.000308, loss 1.081060, train acc 0.740545, test acc 0.851100, time 18.4 sec
epoch 287, lr 0.000268, loss 1.079629, train acc 0.739083, test acc 0.851200, time 16.9 sec
epoch 288, lr 0.000231, loss 1.078039, train acc 0.739884, test acc 0.853600, time 17.3 sec
epoch 289, lr 0.000197, loss 1.078525, train acc 0.740144, test acc 0.851900, time 17.1 sec
epoch 290, lr 0.000166, loss 1.076528, train acc 0.742688, test acc 0.854400, time 18.2 sec
epoch 291, lr 0.000137, loss 1.078994, train acc 0.736819, test acc 0.852200, time 17.8 sec
epoch 292, lr 0.000111, loss 1.080377, train acc 0.738642, test acc 0.852100, time 18.8 sec
epoch 293, lr 0.000088, loss 1.075692, train acc 0.742608, test acc 0.852700, time 17.7 sec
epoch 294, lr 0.000067, loss 1.080047, train acc 0.740144, test acc 0.852600, time 17.3 sec
epoch 295, lr 0.000049, loss 1.068701, train acc 0.745112, test acc 0.854000, time 18.2 sec
epoch 296, lr 0.000034, loss 1.077559, train acc 0.741006, test acc 0.852600, time 18.2 sec
epoch 297, lr 0.000022, loss 1.073731, train acc 0.744271, test acc 0.854200, time 18.6 sec
epoch 298, lr 0.000012, loss 1.076335, train acc 0.742228, test acc 0.854200, time 18.1 sec
epoch 299, lr 0.000005, loss 1.065675, train acc 0.747236, test acc 0.852600, time 18.0 sec
epoch 300, lr 0.000001, loss 1.073129, train acc 0.742808, test acc 0.855000, time 18.8 sec
0.855

Process finished with exit code 0







Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
79it [00:34,  2.29it/s]
timestep 001: 0.8552215189873418
timestep 003: 0.8552215189873418
timestep 007: 0.8552215189873418
timestep 015: 0.8552215189873418
timestep 031: 0.8552215189873418
timestep 063: 0.8552215189873418
best acc:  0.8552215189873418

Process finished with exit code 0

